Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,SMA_7,SMA_15
2020-05-26 00:00:00-04:00,55.633331298828125,55.63999938964844,54.38066864013672,54.591331481933594,121345500,0.0,0.0,54.283047267368865,53.62204411824544
2020-05-27 00:00:00-04:00,54.7239990234375,55.180667877197266,52.33333206176758,54.68199920654297,173242500,0.0,0.0,54.4836186000279,53.85324401855469
2020-05-28 00:00:00-04:00,54.23400115966797,54.983333587646484,53.44599914550781,53.72066879272461,108834000,0.0,0.0,54.40914263044085,53.956488545735674
2020-05-29 00:00:00-04:00,53.91666793823242,55.66666793823242,53.61399841308594,55.66666793823242,176467500,0.0,0.0,54.66619055611746,54.2007553100586
2020-06-01 00:00:00-04:00,57.20000076293945,59.93333435058594,56.939998626708984,59.87333297729492,224092500,0.0,0.0,55.45228576660156,54.55044428507487
2020-06-02 00:00:00-04:00,59.64666748046875,60.57733154296875,58.06666564941406,58.770668029785156,203484000,0.0,0.0,55.96619088309152,54.862755584716794
2020-06-03 00:00:00-04:00,59.20800018310547,59.862667083740234,58.67333221435547,58.86399841308594,119242500,0.0,0.0,56.595523834228516,55.18964436848958
2020-06-04 00:00:00-04:00,59.32533264160156,59.71666717529297,57.229331970214844,57.62533187866211,133315500,0.0,0.0,57.02895246233259,55.5159553527832
2020-06-05 00:00:00-04:00,58.522666931152344,59.10133361816406,57.746665954589844,59.04399871826172,117178500,0.0,0.0,57.65209524972098,55.881866455078125
2020-06-08 00:00:00-04:00,61.266666412353516,63.33333206176758,60.61066818237305,63.327999114990234,212620500,0.0,0.0,59.024571010044646,56.551866404215495
2020-06-09 00:00:00-04:00,62.66733169555664,63.62933349609375,61.595333099365234,62.711334228515625,170823000,0.0,0.0,60.030951908656526,57.11648864746094
2020-06-10 00:00:00-04:00,66.12533569335938,68.49866485595703,65.5,68.336669921875,278451000,0.0,0.0,61.24000004359654,58.081111145019534
2020-06-11 00:00:00-04:00,66.01333618164062,67.9306640625,64.80000305175781,64.85600280761719,238747500,0.0,0.0,62.10933358328683,58.78013356526693
2020-06-12 00:00:00-04:00,65.33333587646484,65.8653335571289,60.84000015258789,62.35200119018555,251451000,0.0,0.0,62.60761969430106,59.25871149698893
2020-06-15 00:00:00-04:00,61.18600082397461,66.5893325805664,60.56666564941406,66.05999755859375,235458000,0.0,0.0,63.81257193429129,60.03213348388672
